Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q2,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,statistics,elementary school
Q3,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q4,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,statistics,high school
Q5,correct,fail,correct,correct,fail,fail,correct,correct,correct,correct,7,statistics,elementary school
Q6,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q7,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q8,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q9,fail,fail,fail,correct,fail,fail,correct,fail,correct,correct,4,plane geometry,elementary school
Q10,correct,correct,fail,fail,correct,correct,fail,correct,fail,correct,6,plane geometry,elementary school
Q11,fail,fail,fail,fail,correct,fail,correct,fail,correct,correct,4,plane geometry,high school
Q12,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q13,correct,fail,fail,fail,fail,correct,fail,correct,fail,fail,3,plane geometry,high school
Q14,fail,fail,correct,fail,fail,fail,fail,fail,fail,correct,2,analytic geometry,high school
Q15,fail,correct,fail,correct,fail,correct,fail,fail,fail,correct,4,analytic geometry,high school
Q16,fail,correct,fail,correct,fail,fail,correct,fail,fail,fail,3,algebra,high school
Q17,correct,correct,correct,correct,correct,correct,fail,correct,correct,fail,8,plane geometry,elementary school
Q18,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,elementary school
Q19,correct,fail,correct,fail,correct,fail,fail,fail,correct,fail,4,statistics,elementary school
Q20,correct,correct,correct,fail,fail,correct,fail,fail,fail,fail,4,statistics,elementary school
Q21,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q22,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,arithmetic,elementary school
