Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level,,,
Q1,fail,fail,fail,fail,fail,fail,fail,correct,fail,correct,2,analytic geometry,high school,,,
Q2,correct,correct,correct,fail,fail,correct,correct,correct,correct,correct,8,statistics,elementary school,,,
Q3,fail,correct,fail,correct,correct,correct,fail,fail,fail,fail,4,statistics,high school,,,
Q4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school,,,
Q5,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,elementary school,,,
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school,,,
Q7,fail,fail,fail,correct,fail,fail,fail,fail,fail,correct,2,arithmetic,elementary school,,,
Q8,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school,,,
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q11,correct,fail,fail,fail,correct,fail,correct,correct,correct,correct,6,plane geometry,high school,,,
Q12,fail,fail,fail,fail,fail,correct,fail,fail,fail,correct,2,analytic geometry,high school,,,
Q13,fail,fail,correct,correct,fail,fail,fail,fail,fail,correct,3,plane geometry,high school,,,
Q14,fail,correct,fail,fail,fail,fail,fail,fail,fail,correct,2,analytic geometry,high school,,,
Q15,correct,fail,correct,correct,fail,fail,correct,fail,correct,correct,6,analytic geometry,high school,,,
Q16,correct,fail,correct,correct,fail,fail,fail,fail,fail,fail,3,algebra,high school,,,
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q18,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,elementary school,,,
Q19,correct,fail,fail,correct,correct,correct,correct,correct,fail,correct,7,statistics,elementary school,,,
Q20,fail,fail,fail,correct,correct,fail,fail,correct,correct,fail,4,statistics,elementary school,,,
Q21,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school,,,
Q22,correct,fail,correct,fail,fail,correct,correct,fail,correct,fail,5,arithmetic,elementary school,,,
Q23,fail,fail,correct,correct,correct,correct,fail,correct,fail,fail,5,analytic geometry,high school,,,
Q24,correct,correct,correct,correct,correct,correct,fail,fail,correct,correct,8,plane geometry,high school,,,
Q25,correct,fail,correct,correct,fail,correct,fail,correct,fail,fail,5,arithmetic,elementary school,,,
Q26,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school,,,
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school,,,
Q28,fail,fail,fail,correct,correct,correct,fail,correct,fail,correct,5,plane geometry,high school,,,
Q29,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,arithmetic,elementary school,,,
Q30,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,elementary school,,,
Q31,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school,,,
Q32,correct,fail,fail,correct,correct,correct,correct,fail,fail,correct,6,plane geometry,high school,,,
Q33,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,analytic geometry,undergraduate,,,
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school,,,
