Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,correct,fail,fail,fail,fail,fail,fail,fail,fail,correct,2,analytic geometry,high school
Q2,fail,fail,correct,fail,fail,correct,correct,correct,fail,fail,4,statistics,elementary school
Q3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q7,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q8,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q9,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,plane geometry,elementary school
Q10,correct,correct,fail,correct,correct,fail,correct,correct,correct,correct,8,plane geometry,elementary school
Q11,correct,correct,correct,fail,fail,fail,fail,fail,fail,fail,3,plane geometry,high school
Q12,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q13,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q14,correct,fail,fail,correct,correct,correct,correct,correct,fail,fail,6,analytic geometry,high school
Q15,fail,fail,fail,correct,correct,correct,fail,correct,fail,correct,5,analytic geometry,high school
Q16,fail,correct,correct,correct,fail,fail,correct,fail,fail,correct,5,algebra,high school
Q17,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,plane geometry,elementary school
Q18,fail,correct,fail,correct,fail,fail,correct,correct,fail,fail,4,plane geometry,elementary school
Q19,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,statistics,elementary school
Q20,correct,fail,fail,fail,correct,fail,fail,fail,correct,fail,3,statistics,elementary school
Q21,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q22,fail,fail,correct,fail,fail,correct,fail,fail,fail,fail,2,arithmetic,elementary school
Q23,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q24,fail,fail,correct,fail,correct,correct,correct,fail,fail,correct,5,plane geometry,high school
Q25,correct,correct,fail,fail,fail,fail,fail,correct,fail,correct,4,arithmetic,elementary school
Q26,correct,fail,correct,fail,correct,fail,correct,correct,fail,fail,5,plane geometry,high school
Q27,fail,fail,fail,fail,fail,fail,fail,correct,correct,fail,2,solid geometry,high school
Q28,fail,fail,fail,correct,correct,fail,fail,correct,fail,correct,4,plane geometry,high school
Q29,correct,fail,fail,correct,correct,fail,correct,fail,correct,correct,6,arithmetic,elementary school
Q30,correct,fail,fail,correct,correct,fail,correct,fail,correct,fail,5,statistics,elementary school
Q31,fail,fail,correct,correct,fail,correct,fail,correct,fail,fail,4,arithmetic,elementary school
Q32,fail,fail,correct,fail,fail,fail,fail,correct,correct,fail,3,plane geometry,high school
Q33,correct,correct,correct,correct,fail,correct,correct,fail,correct,correct,8,analytic geometry,undergraduate
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q35,fail,fail,correct,fail,correct,correct,correct,fail,fail,correct,5,arithmetic,elementary school
Q36,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q37,correct,fail,correct,correct,fail,correct,fail,correct,correct,correct,7,statistics,elementary school
Q38,fail,fail,correct,correct,fail,correct,fail,fail,fail,fail,3,plane geometry,high school
Q39,fail,fail,correct,fail,fail,fail,fail,fail,correct,correct,3,statistics,undergraduate
Q40,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q41,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q42,correct,correct,fail,correct,correct,correct,fail,correct,correct,correct,8,graph theory,undergraduate
Q43,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q44,fail,fail,correct,fail,fail,correct,fail,correct,correct,correct,5,plane geometry,high school
Q45,correct,correct,fail,correct,fail,correct,fail,fail,correct,correct,6,plane geometry,high school
Q46,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,analytic geometry,high school
Q47,correct,correct,correct,fail,fail,fail,correct,fail,correct,correct,6,analytic geometry,high school
Q48,correct,fail,fail,correct,correct,correct,correct,fail,correct,fail,6,statistics,elementary school
Q49,correct,correct,fail,fail,correct,correct,correct,fail,correct,fail,6,plane geometry,high school
Q50,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q51,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q52,correct,fail,correct,fail,correct,correct,correct,correct,correct,correct,8,analytic geometry,undergraduate
Q53,correct,fail,correct,correct,fail,fail,fail,fail,fail,fail,3,plane geometry,high school
Q54,correct,fail,correct,correct,correct,correct,fail,correct,correct,correct,8,analytic geometry,high school
Q55,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q56,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q57,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q58,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic     geometry,high school
Q59,correct,correct,fail,correct,correct,fail,correct,fail,correct,fail,6,arithmetic,high school
Q60,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q61,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q62,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,plane geometry,elementary school
Q63,correct,correct,correct,correct,fail,fail,correct,fail,correct,correct,7,algebra,high school
Q64,correct,correct,fail,correct,fail,fail,fail,fail,fail,fail,3,analytic geometry,undergraduate
Q65,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,plane geometry,high school
Q66,correct,correct,fail,correct,correct,correct,fail,correct,correct,correct,8,plane geometry,high school
Q67,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,plane geometry,high school
Q68,fail,correct,correct,fail,fail,correct,correct,fail,correct,correct,6,analytic geometry,high school
Q69,correct,fail,fail,correct,correct,fail,correct,correct,fail,fail,5,analytic geometry,high school
Q70,fail,correct,fail,fail,correct,correct,correct,fail,fail,fail,4,plane geometry,high school
Q71,fail,correct,fail,fail,fail,fail,correct,correct,fail,fail,3,arithmetic,elementary school
Q72,fail,correct,fail,correct,correct,correct,correct,fail,fail,fail,5,statistics,undergraduate
Q73,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q74,correct,correct,fail,fail,correct,correct,correct,fail,fail,fail,5,solid geometry,high school
Q75,fail,fail,fail,correct,fail,correct,correct,correct,correct,fail,5,analytic geometry,high school
Q76,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q77,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,analytic geometry,undergraduate
Q78,correct,correct,correct,correct,correct,correct,fail,correct,correct,fail,8,analytic geometry,undergraduate
Q79,fail,correct,correct,correct,correct,fail,fail,fail,fail,correct,5,analytic geometry,undergraduate
Q80,correct,fail,correct,fail,fail,correct,correct,correct,fail,fail,5,plane geometry,high school
Q81,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
