Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,analytic geometry,high school
Q2,fail,fail,fail,correct,fail,correct,fail,fail,fail,fail,2,statistics,elementary school
Q3,fail,correct,fail,fail,fail,fail,fail,correct,fail,fail,2,statistics,high school
Q4,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,statistics,high school
Q5,correct,correct,correct,correct,correct,fail,correct,correct,correct,correct,9,statistics,elementary school
Q6,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q7,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q8,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q11,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q12,fail,fail,fail,fail,fail,correct,correct,correct,fail,fail,3,analytic geometry,high school
Q13,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q14,correct,fail,correct,fail,correct,fail,fail,fail,fail,correct,4,analytic geometry,high school
Q15,fail,correct,correct,fail,fail,fail,fail,fail,fail,correct,3,analytic geometry,high school
Q16,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q18,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,elementary school
Q19,correct,fail,correct,fail,correct,fail,fail,fail,fail,correct,4,statistics,elementary school
Q20,fail,fail,fail,fail,correct,fail,fail,fail,correct,fail,2,statistics,elementary school
Q21,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q22,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q23,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q24,fail,fail,correct,fail,fail,correct,fail,correct,fail,fail,3,plane geometry,high school
Q25,fail,fail,fail,correct,fail,fail,fail,fail,correct,fail,2,arithmetic,elementary school
Q26,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,plane geometry,high school
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q28,fail,fail,correct,fail,correct,fail,fail,fail,fail,fail,2,plane geometry,high school
Q29,correct,fail,correct,fail,correct,fail,correct,correct,correct,fail,6,arithmetic,elementary school
Q30,correct,fail,correct,correct,fail,fail,fail,fail,correct,fail,4,statistics,elementary school
Q31,fail,fail,fail,correct,correct,fail,fail,correct,fail,correct,4,arithmetic,elementary school
Q32,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q33,correct,correct,correct,fail,fail,correct,fail,correct,correct,correct,7,analytic geometry,undergraduate
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q35,fail,fail,correct,fail,fail,fail,fail,fail,correct,fail,2,arithmetic,elementary school
Q36,correct,fail,correct,correct,correct,correct,correct,correct,fail,correct,8,solid geometry,high school
Q37,correct,correct,fail,correct,correct,fail,correct,fail,fail,correct,6,statistics,elementary school
Q38,fail,fail,fail,fail,fail,correct,fail,fail,fail,correct,2,plane geometry,high school
Q39,correct,fail,correct,fail,correct,fail,correct,correct,fail,fail,5,statistics,undergraduate
Q40,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q41,correct,fail,fail,correct,correct,correct,correct,fail,fail,fail,5,plane geometry,high school
Q42,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,graph theory,undergraduate
Q43,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q44,fail,correct,fail,correct,correct,fail,fail,fail,fail,fail,3,plane geometry,high school
Q45,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q46,fail,fail,fail,correct,correct,fail,fail,fail,fail,fail,2,analytic geometry,high school
Q47,correct,fail,fail,fail,correct,fail,fail,fail,fail,fail,2,analytic geometry,high school
Q48,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q49,fail,correct,fail,correct,fail,correct,correct,fail,correct,fail,5,plane geometry,high school
Q50,correct,fail,fail,correct,fail,correct,fail,fail,correct,fail,4,analytic geometry,high school
Q51,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q52,correct,fail,fail,fail,fail,fail,correct,correct,fail,correct,4,analytic geometry,undergraduate
Q53,fail,fail,correct,correct,fail,fail,fail,correct,fail,correct,4,plane geometry,high school
Q54,correct,correct,correct,correct,correct,fail,correct,correct,fail,correct,8,analytic geometry,high school
Q55,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q56,correct,correct,correct,fail,fail,correct,correct,fail,correct,fail,6,analytic geometry,high school
Q57,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q58,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,analytic     geometry,high school
Q59,fail,fail,fail,correct,correct,fail,correct,fail,fail,correct,4,arithmetic,high school
Q60,correct,fail,correct,correct,correct,correct,fail,correct,fail,correct,7,solid geometry,high school
Q61,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q62,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,elementary school
Q63,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q64,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q65,correct,fail,fail,correct,fail,fail,fail,correct,fail,fail,3,plane geometry,high school
Q66,correct,correct,correct,correct,fail,correct,fail,correct,fail,correct,7,plane geometry,high school
Q67,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q68,correct,correct,correct,fail,correct,fail,fail,fail,fail,fail,4,analytic geometry,high school
Q69,correct,fail,fail,correct,correct,correct,fail,fail,fail,fail,4,analytic geometry,high school
Q70,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
